Location Local Datetime,Location,Deployment,Product,Product Pulls,Product Fills,Data,Data Change,Status
2024-10-01 01:06:50.047,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,0.0,3,,Stable
2024-10-01 19:36:50.145,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,4,1.0,Possible Fill
2024-10-02 18:26:46.530,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,3.0,0.0,1,3.0,Oscillation
2024-10-04 11:16:45.943,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,3.0,4,3.0,Possible Fill
2024-10-04 11:26:45.871,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-04 13:46:42.235,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-04 14:06:42.723,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-04 15:46:43.495,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-04 15:56:43.537,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-04 16:06:43.799,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-04 16:26:43.762,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-04 19:56:44.613,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-04 20:06:44.722,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-05 02:06:46.361,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-05 02:16:46.094,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
2024-10-05 06:56:47.042,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,1.0,0.0,4,1.0,Oscillation
2024-10-05 07:06:47.983,Apogem Capital,53rd Floor Pantry - Fridge #1,Just Ice Tea Organic Unsweetened Original Green Tea,0.0,1.0,5,1.0,Oscillation
